CP,Localidad
1001,CABA - Retiro
1002,CABA - Monserrat
1003,CABA - San Nicolas
1004,CABA - San Nicolas
1005,CABA - San Nicolas
1006,CABA - Retiro
1007,CABA - Retiro
1008,CABA - Monserrat
1009,CABA - San Nicolas
1010,CABA - San Nicolas
1011,CABA - Retiro
1012,CABA - Monserrat
1013,CABA - San Nicolas
1014,CABA - Recoleta
1015,CABA - San Nicolas
1016,CABA - Recoleta
1017,CABA - San Nicolas
1018,CABA - Recoleta
1019,CABA - Recoleta
1020,CABA - Recoleta
1021,CABA - Recoleta
1022,CABA - Recoleta
1023,CABA - Balvanera
1024,CABA - Balvanera
1025,CABA - Recoleta
1026,CABA - Balvanera
1027,CABA - Balvanera
1028,CABA - Balvanera
1029,CABA - Balvanera
1030,CABA - Balvanera
1031,CABA - Balvanera
1032,CABA - Balvanera
1033,CABA - Monserrat
1034,CABA - Balvanera
1035,CABA - Monserrat
1036,CABA - San Nicolas
1037,CABA - San Nicolas
1038,CABA - San Nicolas
1039,CABA - Balvanera
1040,CABA - Balvanera
1041,CABA - San Nicolas
1042,CABA - San Nicolas
1043,CABA - San Nicolas
1044,CABA - Balvanera
1045,CABA - Balvanera
1046,CABA - Balvanera
1047,CABA - San Nicolas
1048,CABA - San Nicolas
1049,CABA - San Nicolas
1050,CABA - Balvanera
1051,CABA - Balvanera
1052,CABA - Balvanera
1053,CABA - San Nicolas
1054,CABA - Retiro
1055,CABA - San Nicolas
1056,CABA - Recoleta
1057,CABA - Retiro
1058,CABA - Retiro
1059,CABA - Retiro
1060,CABA - Recoleta
1061,CABA - Recoleta
1062,CABA - San Nicolas
1063,CABA - San Telmo
1064,CABA - San Telmo
1065,CABA - San Telmo
1066,CABA - San Telmo
1067,CABA - Monserrat
1068,CABA - Constitucion
1069,CABA - San Telmo
1070,CABA - San Telmo
1071,CABA - Constitucion
1072,CABA - Constitucion
1073,CABA - Constitucion
1074,CABA - Constitucion
1075,CABA - Constitucion
1076,CABA - Constitucion
1077,CABA - Constitucion
1078,CABA - Constitucion
1079,CABA - Monserrat
1080,CABA - Balvanera
1081,CABA - Balvanera
1082,CABA - Balvanera
1083,CABA - Balvanera
1084,CABA - Monserrat
1085,CABA - Monserrat
1086,CABA - Monserrat
1087,CABA - Monserrat
1088,CABA - Monserrat
1089,CABA - Monserrat
1090,CABA - Balvanera
1091,CABA - Monserrat
1092,CABA - Monserrat
